Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,18,85677,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,11,10898,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,3,9956,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,23,92390,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,15,50000,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,8,17000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,18,55017,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,16,87833,37.5347,750,50.4,55.6,67.2,45.4,[0] 0
0,15,40000,39.055,350,45.2,54.2,65.4,45.4,[0] 0
0,14,7000,44.6243,1050,34.1,43.1,54,33.7,[1] 0
0,1,485,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,10,418,40.0417,600,23.7,44.4,55.7,32.1,[0] 0
0,3,24000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,18,52872,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,0,55951,46.2807,1200,28.6,41.2,51.9,31.4,[0] 0
0,5,74698,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,9,37583,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,1,51323,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,12,110800,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,6,9956,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,22,54000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,9,103000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,0,115000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,17,200000,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,3,119000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,7,59649,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,15,6814,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,21,55000,38.3566,800,43.5,54.5,66,44.5,[0] 0
0,20,80000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,18,33200,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,19,136827,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
